003530.230 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Linking cross-dependent managers...
003530.230 | DEBUG    | CORE | SYSTEM     | oaComMQTT.mqtt_subscriber_router | 🚀📤📥 [MQTT] Subscribing to OPEN-AIR/System/Control/Splinker/#
003530.230 | DEBUG    | CORE | SYSTEM     | oaThreadManager.launcher | 🚀⚙️🔗 [LAUNCHER] Starting all manager services...
003530.239 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: Mbox 2:Mbox 2 MIDI 1 28:0
003530.240 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: Midi Through:Midi Through Port-0 14:0
003530.241 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: RtMidiOut Client:RtMidi output 136:0
003530.242 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: RtMidiOut Client:RtMidi output 137:0
003530.243 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: RtMidiOut Client:RtMidi output 138:0
003530.244 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: RtMidiOut Client:RtMidi output 139:0
003530.245 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: RtMidiOut Client:RtMidi output 142:0
003530.246 | SUCCESS  | CORE | MIDI       | oaComMidi.core.midi_port_controller | 🎹 INPUT READY: RtMidiOut Client:RtMidi output 143:0
003529.858 | DEBUG    | UI   | SYSTEM     | oaConfiguration.console_encoder | ⏩ Not on Windows ('nt'), skipping console encoding reconfiguration.
003529.858 | SUCCESS  | UI   | SYSTEM     | oaConfiguration.console_encoder | ✅ Exiting configure_console_encoding.
003529.858 | DEBUG    | UI   | SYSTEM     | __main__             | 🖥️🎨 [UI] Starting OpenAir UI Service...
003529.957 | DEBUG    | UI   | SYSTEM     | oaGuiManager.core.ui_window | Enforced minimum window size: 800x600
003529.957 | DEBUG    | UI   | SYSTEM     | oaGuiManager.core.ui_window | Attempting to set window maximization attributes...
003529.957 | DEBUG    | UI   | SYSTEM     | oaGuiManager.core.ui_window | Set '-zoomed' attribute for Linux.
003530.217 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.splash_screen | ✅ SplashScreen materialised.
003530.217 | DEBUG    | UI   | SYSTEM     | oaGuiManager.core.ui_window | 🖥️🎨 [UI] Reveal main window.
003530.242 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.splash_screen | 👋 SplashScreen dismissed.
003530.247 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.splash_screen | 🔬 SPLASH: Initializing Comms...
003530.247 | DEBUG    | UI   | SYSTEM     | __main__             | 🖥️🎨 [UI] Entering Tkinter MainLoop.
003530.247 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.splash_screen | 🔬 SPLASH: Loading State Cache...
003530.247 | DEBUG    | UI   | SYSTEM     | oaStateCache.cache_io_handler | 💾📖 Reading Cache.
003530.247 | DEBUG    | UI   | SYSTEM     | oaStateCache.cache_io_handler | 💾⏳ Cache file exists. Reading...
003530.247 | SUCCESS  | UI   | SYSTEM     | oaStateCache.cache_io_handler | 💾✅ Cache loaded successfully.
003530.247 | DEBUG    | UI   | DATA       | oaStateCache.state_cache | 🧠💾 [CACHE] Initialized with 211 entries.
003530.248 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.splash_screen | 🔬 SPLASH: Connecting to Broker...
003530.248 | DEBUG    | UI   | DATA       | oaStateCache.state_cache | 🚀📤📥 [CACHE] Subscribing to root: OPEN-AIR/#
