081043.435 | DEBUG    | UI   | SYSTEM     | oaConfiguration.Methods.console_encoder | ⏩ Not on Windows ('nt'), skipping console encoding reconfiguration.
081043.435 | SUCCESS  | UI   | SYSTEM     | oaConfiguration.Methods.console_encoder | ✅ Exiting configure_console_encoding.
081043.435 | DEBUG    | UI   | SYSTEM     | __main__             | 🖥️🎨 [UI] Starting OpenAir UI Service...
081043.519 | DEBUG    | UI   | SYSTEM     | oaGuiManager.Core.ui_window | Enforced minimum window size: 800x600
081043.519 | DEBUG    | UI   | SYSTEM     | oaGuiManager.Core.ui_window | Attempting to set window maximization attributes...
081043.519 | DEBUG    | UI   | SYSTEM     | oaGuiManager.Core.ui_window | Set '-zoomed' attribute for Linux.
081043.525 | DEBUG    | UI   | SYSTEM     | oaGuiManager.Core.composition_root | 🏗️ [ROOT] Composing UI Services...
081043.525 | DEBUG    | UI   | SYSTEM     | oaStateCache.FileReaders.cache_io_handler | 💾📖 Reading Cache.
081043.525 | DEBUG    | UI   | SYSTEM     | oaStateCache.FileReaders.cache_io_handler | 💾⏳ Cache file exists. Reading...
081043.525 | SUCCESS  | UI   | SYSTEM     | oaStateCache.FileReaders.cache_io_handler | 💾✅ Cache loaded successfully.
081043.526 | DEBUG    | UI   | DATA       | oaStateCache.Core.state_cache | 🧠💾 [CACHE] Initialized with 34 entries.
081043.526 | DEBUG    | UI   | ROUTER     | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] SPLINKER on OPEN-AIR/System/Status/Splinker/List: []
081043.526 | INFO     | UI   | OSC        | oaComOSC.Managers.osc_manager | 🅾️📡💻 [OSC] Initializing Bridge (Bridge=False)...
081043.526 | INFO     | UI   | SYSTEM     | oaComSNMP.Managers.snmp_manager | 🌐 🛠️ Initializing SNMP Bridge...
081043.527 | SUCCESS  | UI   | SYSTEM     | oaGuiManager.Core.composition_root | ✅ [ROOT] UI Service Graph Composed.
081043.546 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.Methods.splash_screen | ✅ SplashScreen materialised.
081043.547 | DEBUG    | UI   | SYSTEM     | oaGuiManager.Core.ui_window | 🖥️🎨 [UI] Reveal main window.
081043.557 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.Methods.splash_screen | 👋 SplashScreen dismissed.
081043.566 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.Methods.splash_screen | 🔬 SPLASH: Connecting to Broker...
081043.566 | DEBUG    | UI   | SYSTEM     | __main__             | 🖥️🎨 [UI] Entering Tkinter MainLoop.
081043.567 | DEBUG    | UI   | DATA       | oaStateCache.Core.state_cache | 🚀📤📥 [CACHE] Subscribing to root: OPEN-AIR/#
081043.567 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.Methods.splash_screen | 🔬 SPLASH: Starting Protocol Services...
081043.567 | DEBUG    | UI   | ROUTER     | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] 🔗 🚀 💾 Ⓖ >> OPEN-AIR/System/Status/Splinker/List: []
081043.568 | DEBUG    | UI   | ROUTER     | oaComBroker.Core.protocol_router.dispatch | 📡📤📤 [OUTBOUND] MQTT >> OPEN-AIR/System/Status/Splinker/List: []
081043.569 | SUCCESS  | UI   | SYSTEM     | oaComMQTT.Workers.mqtt_async_worker | 🚀🆗✅ [SUCCESS] aiomqtt: Connected to broker.
081043.569 | SUCCESS  | UI   | ROUTER     | oaComBroker.Core.protocol_router.router | ▶️▶️▶️ [START] Protocol Router Active (GUID: 09B9EAF3127B4C43).
081043.569 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.Methods.splash_screen | 🔬 SPLASH: Starting OSC...
081043.569 | INFO     | UI   | OSC        | oaComOSC.Managers.osc_manager | 🅾️📡💻 [OSC] Bridge: Observer mode active.
081043.570 | DEBUG    | UI   | SYSTEM     | oaGuiSplashScreen.Methods.splash_screen | 🔬 SPLASH: Starting SNMP...
081043.571 | DEBUG    | UI   | SYSTEM     | oaComMQTT.Managers.mqtt_subscriber_router | 🚀📤📥 [MQTT] aiomqtt: Resubscribed to root and external filters.
081043.571 | DEBUG    | UI   | ROUTER     | oaComBroker.Core.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/oaGuiDefinitions/visibility/visible: {'visible': True, 'ts': 1774267004.6286566, 'tab_name': 'START_PAUSE_STOP'}
081043.571 | DEBUG    | UI   | ROUTER     | oaComBroker.Core.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/oaGuiDefinitions/visibility/visible: {'visible': True, 'ts': 1774267004.6286566, 'tab_name': 'START_PAUSE_STOP'}
