013351.178 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.aux_1_4
013351.179 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.pan
013351.183 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.Summing_Groups
013351.183 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.aux_1_4
013351.183 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.pan
013351.193 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.Summing_Groups
013351.193 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.aux_1_4
013351.193 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.pan
013351.196 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.Summing_Groups
013351.196 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.aux_1_4
013351.196 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.pan
013351.200 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.Summing_Groups
013351.200 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.aux_1_4
013351.200 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch7.fields.pan
013351.204 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.Summing_Groups
013351.204 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch8.fields.aux_1_4
