013326.021 | WARNING  | CORE | SYSTEM     | oaPTP.Core.ptp       | ⏱️ PTP Sniffer: [PERMISSION DENIED] Run as root/sudo for raw capture. Sniffer disabled.
013327.120 | WARNING  | UI   | SYSTEM     | oaGuiManager.Core.factory.Core.widget_discovery_engine | ⚠️ Registry class <class 'oaGuiElements.Core.buttons.button_toggle.button_toggle.BuilderButtonToggleCreator'> missing static 'make' method.
013330.118 | WARNING  | CORE | SYSTEM     | oaComVisa.Methods.visa_Search | FAILED (IDN Query Error)
013330.119 | WARNING  | CORE | SYSTEM     | oaComVisa.Methods.visa_Search | FAILED (IDN Query Error)
013340.209 | WARNING  | CORE | SYSTEM     | oaComVisa.Methods.visa_Search | FAILED (IDN Query Error)
013348.213 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.Summing_Groups
013348.213 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.aux_1_4
013348.213 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch1.fields.pan
013348.221 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.Summing_Groups
013348.221 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.aux_1_4
013348.221 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch2.fields.pan
013348.225 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.Summing_Groups
013348.225 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.aux_1_4
013348.225 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch3.fields.pan
013348.228 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.Summing_Groups
013348.228 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.aux_1_4
013348.228 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch4.fields.pan
013348.231 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.Summing_Groups
013348.231 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.aux_1_4
013348.231 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch5.fields.pan
013348.233 | ERROR    | UI   | SYSTEM     | oaGuiBuild.Core.batch_processing_engine | ❌ Unknown functional widget: 'OcaCollapsibleBlock' at fields.ch6.fields.Summing_Groups
