Instrument,File,Tab,Panel,Block,Control,Widget type,Binding,YAK verb,YAK command,sub_path,input_name,converter,Literal SCPI,yak_domain,Readout
Spectrum,instrument,markers,markers,Marker 2,X_MHz,_Value,yak_handler,set,Set_Marker_X_position,Markers,hz_value,mhz_to_hz,,,
Spectrum,instrument,markers,markers,Marker 2,Y_dBm,_Label,unbound,,,,,,,,
Spectrum,instrument,markers,markers,Marker 3,Active,_GuiCheckbox,yak_handler,set,Set_Marker_State,Markers,state_bool,bool_to_int,,,
Spectrum,instrument,markers,markers,Marker 3,X_MHz,_Value,yak_handler,set,Set_Marker_X_position,Markers,hz_value,mhz_to_hz,,,
Spectrum,instrument,markers,markers,Marker 3,Y_dBm,_Label,unbound,,,,,,,,
Spectrum,instrument,markers,markers,Marker 4,Active,_GuiCheckbox,yak_handler,set,Set_Marker_State,Markers,state_bool,bool_to_int,,,
Spectrum,instrument,markers,markers,Marker 4,X_MHz,_Value,yak_handler,set,Set_Marker_X_position,Markers,hz_value,mhz_to_hz,,,
Spectrum,instrument,markers,markers,Marker 4,Y_dBm,_Label,unbound,,,,,,,,
Spectrum,instrument,markers,markers,Marker 5,Active,_GuiCheckbox,yak_handler,set,Set_Marker_State,Markers,state_bool,bool_to_int,,,
Spectrum,instrument,markers,markers,Marker 5,X_MHz,_Value,yak_handler,set,Set_Marker_X_position,Markers,hz_value,mhz_to_hz,,,
Spectrum,instrument,markers,markers,Marker 5,Y_dBm,_Label,unbound,,,,,,,,
Spectrum,instrument,markers,markers,Marker 6,Active,_GuiCheckbox,yak_handler,set,Set_Marker_State,Markers,state_bool,bool_to_int,,,
Spectrum,instrument,markers,markers,Marker 6,X_MHz,_Value,yak_handler,set,Set_Marker_X_position,Markers,hz_value,mhz_to_hz,,,
Spectrum,instrument,markers,markers,Marker 6,Y_dBm,_Label,unbound,,,,,,,,
Spectrum,instrument,traces,traces,Trace 1,TRACE_MODE_1,_GuiDropDownOption,yak_handler,set,Set_Trace_Mode,Trace,mode_string,string,,,
Spectrum,instrument,traces,traces,Trace 2,TRACE_MODE_2,_GuiDropDownOption,yak_handler,set,Set_Trace_Mode,Trace,mode_string,string,,,
Spectrum,instrument,traces,traces,Trace 3,TRACE_MODE_3,_GuiDropDownOption,yak_handler,set,Set_Trace_Mode,Trace,mode_string,string,,,
Spectrum,instrument,traces,traces,Trace 4,TRACE_MODE_4,_GuiDropDownOption,yak_handler,set,Set_Trace_Mode,Trace,mode_string,string,,,
Spectrum,instrument,traces,traces,Continuous,CONTINUOUS_MODE,_GuiButtonToggle,yak_handler,set,Set_Continuous_Mode,Trace,state_bool,bool_to_int,,,
Spectrum,instrument,traces,traces,Continuous,initiate_continuous_on,_GuiActuator,yak_handler,do,Do_Initiate_Continuous,Trace,,,,,
Spectrum,instrument,traces,traces,Averaging,AVERAGING,_GuiButtonToggler,yak_handler,set,Set_Averaging,Trace,count_int,int,,,
