010936.828 | DEBUG    | SUP  | SYSTEM     | oaConfiguration.Core.config_loader | 📜 config.ini not found at /home/anthony/Documents/OPEN-AIR/oaOchestration/config.ini. Recreating...
010936.829 | DEBUG    | SUP  | SYSTEM     | oaConfiguration.Managers.config_reader | 📜 [CONFIG] Loaded: Version 20251225, Debug: True
010936.829 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Launching OPEN-AIR Partitions... (Mission Critical: False)
010936.829 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Session Identity established (Randomized): 00DC3B8202F6F0DD
010936.829 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Spawning Partition B (UI)...
010936.829 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Spawning Partition A (Core)...
010936.829 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: System Running. Monitoring child processes...
010937.329 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: 🛑 Core exited (Code 1). Shutting down.
010937.330 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Terminating child processes...
010937.330 | DEBUG    | SUP  | SYSTEM     | __main__             | 🚀 SUPERVISOR: Supervisor shutdown complete. Goodbye.
